地名,センター（center.csvを使わない場合は空白化）,燃やすごみ,燃やさないごみ,資源,木くず類
出し山町 野原町 城ノ内,くりーんプラザ・龍,月 水 金,火1 火3,木1 木3,土1 土3
中根台 藤ケ丘,くりーんプラザ・龍,月 水 金,火1 火3,木2 木4,土1 土3
根町 馴馬町中曽根 愛戸町 富士見 城下 緑町,くりーんプラザ・龍,月 水 金,火2 火4,木1 木3,土1 土3
長山 長山前,くりーんプラザ・龍,月 水 金,火2 火4,木2 木4,土1 土3
米町 姫宮町 水門 馴馬町上米,くりーんプラザ・龍,月 水 金,木1 木3,火1 火3,土1 土3
昭和 小通幸谷町  稗柄町 南中島南1・北1・2区 川崎町,くりーんプラザ・龍,月 水 金,木1 木3,火2 火4,土1 土3
北文間全域 新町 横町 田町 南が丘,くりーんプラザ・龍,月 水 金,木2 木4,火1 火3,土1 土3
佐貫1～5区,くりーんプラザ・龍,月 水 金,木2 木4,火2 火4,土1 土3
川原代全域,くりーんプラザ・龍,火 木 土,水1 水3,金1 金3,月1 月3
浅間ケ浦 庄兵衛新田町 松葉,くりーんプラザ・龍,火 木 土,水1 水3,金2 金4,月1 月3
入地町馴馬町（上米・中曽根を除く） 平台 小柴,くりーんプラザ・龍,火 木 土,水2 水4,金1 金3,月1 月3
若柴1～3区 佐貫南・浦前・中・後佐貫 佐貫台 立羽,くりーんプラザ・龍,火 木 土,水2 水4,金2 金4,月1 月3
八原全域 長戸全域 白羽 中里,くりーんプラザ・龍,火 木 土,金1 金3,水1 水3,月1 月3
大宮全域,くりーんプラザ・龍,火 木 土,金1 金3,水2 水4,月1 月3
久保台 松ケ丘,くりーんプラザ・龍,火 木 土,金2 金4,水1 水3,月1 月3
砂町 上町 栄町 下町 高砂町 直鮒町,くりーんプラザ・龍,火 木 土,金2 金4,水2 水4,月1 月3
